Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,12.883735,14.286224,11.672890,12.953424,9.770924,225650724
2008-08-01,12.918579,13.240891,12.091024,12.683379,9.567227,115387245
2008-09-01,12.683379,13.328002,10.766935,11.411557,8.625526,255048353
2008-10-01,11.411557,11.428979,6.123912,8.127467,6.143218,187543403
2008-11-01,8.118756,8.624001,6.071645,6.550756,4.951447,127779918
2008-12-01,6.533334,7.840001,6.062934,7.596090,5.741572,102716534
2009-01-01,7.596090,8.937601,6.968890,7.961956,6.018115,107673610
2009-02-01,7.840001,7.840001,6.934045,7.073423,5.346509,78590474
2009-03-01,7.212801,7.448001,6.010667,6.707556,5.069966,177435656
2009-04-01,6.576889,8.606579,6.576889,7.840001,5.925933,214929158
2009-05-01,7.840001,9.930668,7.840001,9.460268,7.150626,145493105
2009-06-01,9.826134,9.826134,8.449779,9.303468,7.032108,150757375
2009-07-01,9.303468,10.976001,8.815645,10.505601,7.940751,104052405
2009-08-01,10.453335,11.585779,9.582223,9.791290,7.400834,158136063
2009-09-01,9.843557,11.916801,9.582223,10.662401,8.059270,145537943
2009-10-01,10.662401,11.899379,10.017779,11.097957,8.388486,133311983
2009-11-01,10.801779,12.300090,10.679823,11.533512,8.717706,84107646
2009-12-01,11.568357,13.066668,11.376712,12.613690,9.534169,114655060
2010-01-01,12.613690,12.718224,10.906312,11.150224,8.427994,130095166
2010-02-01,11.150224,12.683379,11.010846,12.561424,9.494663,87769572
2010-03-01,12.718224,14.634669,12.369779,14.251380,10.772030,154286455
2010-04-01,14.268802,14.774046,13.415113,14.321068,10.824707,119055567
2010-05-01,14.216535,14.321068,12.230401,13.432535,10.153099,120913190
2010-06-01,13.293157,14.286224,13.049246,13.502224,10.268311,101150230
2010-07-01,13.571913,15.192180,13.240891,15.070224,11.460758,134698527
2010-08-01,15.227024,17.857780,15.000535,16.707912,12.706204,224992177
2010-09-01,16.725336,18.816004,16.429157,18.336891,13.945025,180640984
2010-10-01,18.293337,20.209782,18.075558,18.162668,14.054857,217836894
2010-11-01,18.424002,20.558226,18.162668,19.730669,15.268229,178225822
2010-12-01,20.035559,20.993780,18.336891,18.685335,14.459312,142086133
2011-01-01,18.598225,20.471113,16.986670,17.108624,13.239203,151917578
2011-02-01,17.126047,18.293337,14.808891,15.767113,12.201100,212677262
2011-03-01,15.854224,16.603380,15.244446,16.237513,12.565113,363582523
2011-04-01,16.359468,17.335114,16.220091,16.882135,13.063941,160725172
2011-05-01,16.882135,17.552891,15.540624,16.237513,12.565113,118395575
2011-06-01,16.237513,16.446581,14.686935,15.697424,12.644798,136514940
2011-07-01,15.697424,16.446581,15.279291,15.732269,12.672868,100976063
2011-08-01,15.819380,16.011024,12.665957,13.659024,11.002800,206133583
2011-09-01,13.937780,14.286224,10.470757,11.150224,8.981877,159343761
2011-10-01,10.888890,13.502224,10.279112,12.456890,10.154215,137891409
2011-11-01,12.125868,12.456890,10.906312,11.812268,9.628752,152718565
2011-12-01,12.195557,12.195557,11.202490,11.603201,9.458332,67670490
2012-01-01,11.603201,13.589335,11.411557,13.380268,10.906906,93555757
2012-02-01,13.153779,14.268802,12.212979,13.415113,10.935309,161893967
2012-03-01,13.328002,13.937780,12.509157,12.526579,10.211022,179970641
2012-04-01,12.282668,12.491735,11.237335,11.463824,9.344719,121612798
2012-05-01,11.463824,11.760001,10.244268,10.435912,8.712823,159606822
2012-06-01,10.523023,11.028268,10.348801,10.854046,9.061919,84632079
2012-07-01,10.854046,11.585779,10.644979,11.185068,9.338285,72149614
2012-08-01,11.307024,11.498668,10.383646,11.010846,9.192830,133832332
2012-09-01,10.976001,11.446401,10.470757,10.993423,9.178282,118540179
2012-10-01,10.993423,12.265246,10.993423,12.230401,10.211023,84675572
2012-11-01,12.195557,12.753068,11.638046,11.864535,9.905563,98880740
2012-12-01,11.794846,12.526579,11.324446,12.387201,10.341931,70467694
2013-01-01,12.387201,13.763557,12.387201,13.118935,10.952847,95460561
2013-02-01,13.240891,13.432535,12.474313,12.613690,10.531026,80594203
2013-03-01,12.578846,12.962135,11.394135,11.568357,9.658290,96351924
2013-04-01,11.568357,11.899379,10.453335,11.881957,9.920110,160940034
2013-05-01,11.881957,12.979557,11.707735,12.613690,10.594850,87724122
2013-06-01,12.718224,13.066668,11.167646,11.812268,9.921699,111248383
2013-07-01,11.812268,12.526579,11.341868,12.509157,10.507047,59259850
2013-08-01,12.700802,12.875024,11.324446,11.585779,9.731456,69616249
2013-09-01,11.672890,13.641602,11.603201,13.240891,11.121667,77681798
2013-10-01,13.240891,13.537068,12.665957,13.397691,11.303238,72019922
2013-11-01,13.449957,14.686935,12.822757,14.303646,12.067567,91107969
2013-12-01,14.146846,14.599824,13.676446,14.286224,12.052867,82868284
2014-01-01,14.286224,15.035380,13.676446,14.024891,11.832389,70021690
2014-02-01,14.024891,14.024891,13.049246,13.763557,11.611909,70104257
2014-03-01,13.397691,13.955202,12.578846,12.596268,10.627101,84553332
2014-04-01,12.631113,13.571913,12.125868,12.753068,10.759388,99483974
2014-05-01,12.753068,13.432535,12.265246,12.300090,10.491574,99912240
2014-06-01,12.300090,12.753068,12.300090,12.613690,10.759066,70559264
2014-07-01,12.613690,12.875024,12.195557,12.822757,10.937391,70308998
2014-08-01,12.700802,13.240891,12.526579,12.544002,10.699623,89910991
2014-09-01,12.456890,12.944713,12.352357,12.456890,10.625319,110240741
2014-10-01,12.456890,12.787913,11.812268,12.665957,10.879623,107696282
2014-11-01,12.648535,15.401246,12.561424,14.878580,12.780188,128801437
2014-12-01,15.087646,15.680002,14.303646,14.721780,12.645503,153809521
2015-01-01,14.721780,15.941335,14.129424,15.767113,13.543408,144204614
2015-02-01,15.784535,15.923913,14.704357,15.157335,13.019630,55154298
2015-03-01,15.244446,15.801958,14.146846,15.627735,13.423687,75339046
2015-04-01,15.627735,17.857780,15.610313,17.404802,14.950128,122477703
2015-05-01,17.404802,18.119114,16.220091,17.300268,15.071465,104958356
2015-06-01,16.916981,17.770670,15.958758,16.603380,14.464358,124480650
2015-07-01,16.603380,17.248001,15.523202,15.976180,13.917960,90820332
2015-08-01,16.063292,16.585958,11.655468,12.195557,10.624398,157240207
2015-09-01,12.195557,13.031824,11.672890,12.648535,11.019018,89837219
2015-10-01,12.648535,13.676446,12.369779,13.449957,11.937313,90104465
2015-11-01,13.415113,13.868091,11.760001,11.916801,10.576583,76537777
2015-12-01,11.934224,12.021335,11.080535,11.690312,10.375567,71474123
2016-01-01,11.690312,11.760001,10.453335,10.610135,9.416871,91442205
2016-02-01,10.627557,11.237335,9.634490,10.801779,9.586961,79477010
2016-03-01,10.801779,12.247824,10.766935,11.690312,10.375567,96100549
2016-04-01,11.690312,11.760001,10.610135,10.801779,9.586961,88968413
2016-05-01,10.801779,10.836623,10.331379,10.592712,9.598639,57140788
2016-06-01,10.697246,10.836623,9.320890,9.860979,8.935576,104252981
2016-07-01,9.860979,10.976001,9.756446,10.976001,9.945958,225232206
2016-08-01,10.993423,11.394135,9.599645,9.721601,8.809277,203498815
2016-09-01,9.721601,10.017779,9.320890,9.408001,8.525107,143366963
2016-10-01,9.547379,9.582223,8.711112,8.902756,8.102692,161837410
2016-11-01,9.024712,9.233779,8.850490,9.146668,8.324684,117252892
2016-12-01,9.129245,9.181512,8.728534,8.885334,8.086834,94614152
2017-01-01,8.885334,9.860979,8.885334,9.181512,8.356395,222810629
2017-02-01,9.233779,9.982934,9.059557,9.930668,9.038228,141425452
2017-03-01,9.930668,10.505601,9.408001,9.826134,8.943089,269849167
2017-04-01,9.878401,9.965512,9.338312,9.756446,8.879663,123557077
2017-05-01,9.756446,10.610135,8.885334,9.930668,9.038228,341717328
2017-06-01,9.930668,11.063112,9.930668,10.557868,9.609063,219270207
2017-07-01,10.453335,11.289601,10.383646,10.662401,9.704202,138592360
2017-08-01,10.697246,10.888890,9.965512,10.122312,9.212649,167211829
2017-09-01,10.174579,10.557868,10.017779,10.279112,9.355358,94207108
2017-10-01,10.279112,11.742579,10.261690,11.620624,10.576313,157056440
2017-11-01,11.672890,11.742579,10.244268,10.453335,9.513925,155445819
2017-12-01,10.523023,10.679823,9.739023,10.557868,9.609063,148544948
2018-01-01,10.557868,11.376712,10.453335,10.819201,9.846911,108198392
2018-02-01,10.906312,11.847113,10.383646,11.550935,10.512886,99715144
2018-03-01,11.498668,12.909868,11.307024,11.794846,10.734878,184109823
2018-04-01,11.794846,12.091024,10.784357,11.010846,10.021335,80864429
2018-05-01,11.010846,12.108446,10.714668,11.132801,10.169885,73342340
2018-06-01,11.132801,12.125868,10.644979,10.749512,9.819747,89450533
2018-07-01,10.749512,10.993423,10.296534,10.557868,9.644679,56038300
2018-08-01,10.592712,11.063112,10.157157,10.192001,9.310458,76264194
2018-09-01,10.261690,10.470757,9.460268,10.279112,9.390033,66517569
2018-10-01,10.279112,10.313957,8.545601,8.676268,7.993800,61023476
2018-11-01,8.711112,9.982934,8.702401,9.826134,9.053219,57667827
2018-12-01,9.930668,10.087468,9.216357,9.704179,8.940856,32859115
2019-01-01,9.704179,10.923735,9.338312,10.488179,9.663188,60286439
2019-02-01,10.592712,12.160713,10.331379,11.498668,10.594193,81388435
2019-03-01,11.481246,12.317513,11.132801,11.969068,11.027591,107730204
2019-04-01,12.073601,12.282668,11.359290,11.498668,10.594193,54734683
2019-05-01,11.498668,11.690312,9.617068,9.721601,9.087475,54131774
2019-06-01,9.721601,10.435912,9.425423,10.174579,9.510906,60512485
2019-07-01,10.174579,10.766935,9.512534,9.651912,9.022332,49261881
2019-08-01,9.617068,9.617068,8.075201,8.902756,8.322042,175119558
2019-09-01,8.902756,9.547379,8.458490,8.536890,7.980042,86432029
2019-10-01,8.536890,9.007290,8.292979,8.728534,8.306344,62178520
2019-11-01,8.780801,9.181512,8.475912,9.111823,8.671094,56495038
2019-12-01,9.146668,10.070046,8.850490,10.035201,9.549809,57945916
2020-01-01,10.035201,10.226846,8.362668,8.571734,8.157128,77156611
2020-02-01,8.536890,9.286045,8.371379,8.728534,8.306344,70235662
2020-03-01,8.711112,9.042134,6.585601,7.230223,6.880505,107903723
2020-04-01,7.230223,8.327823,6.925334,8.005512,7.618294,43358905
2020-05-01,8.005512,8.101334,6.533334,6.846934,6.515755,61477876
2020-06-01,6.838223,9.111823,6.411378,6.533334,6.217323,280189679
2020-07-01,6.533334,6.707556,5.170000,5.230000,4.977030,310752552
2020-08-01,5.230000,6.440000,5.070000,6.300000,5.995276,392722731
2020-09-01,6.320000,6.490000,5.200000,5.350000,5.091226,183628923
2020-10-01,5.350000,6.000000,5.230000,5.260000,5.005579,136736627
2020-11-01,5.260000,7.630000,5.150000,7.260000,6.908842,344973608
2020-12-01,7.250000,7.990000,7.000000,7.210000,6.861260,143448983
2021-01-01,7.210000,7.410000,5.950000,5.980000,5.690754,235316565
2021-02-01,6.030000,7.760000,6.000000,7.200000,6.851744,408602792
2021-03-01,7.300000,7.930000,6.900000,7.250000,6.899325,375013269
2021-04-01,7.250000,7.390000,6.840000,6.850000,6.518673,133872096
2021-05-01,6.870000,6.900000,6.350000,6.680000,6.356895,148611344
2021-06-01,6.610000,7.140000,6.550000,6.560000,6.242700,121810758
2021-07-01,6.560000,6.820000,6.220000,6.230000,5.928661,114311182
2021-08-01,6.360000,6.560000,6.100000,6.530000,6.214151,85896678
2021-09-01,6.530000,6.850000,6.280000,6.550000,6.233184,83027669
2021-10-01,6.550000,7.430000,6.550000,7.170000,6.823195,143677992
2021-11-01,7.170000,7.600000,6.220000,6.300000,5.995276,108588621
2021-12-01,6.300000,6.640000,6.110000,6.390000,6.080923,89828224
2022-01-01,6.350000,6.750000,6.250000,6.480000,6.166569,105360526
2022-02-01,6.480000,7.280000,6.480000,6.960000,6.623352,151601656
2022-03-01,6.950000,8.110000,6.300000,7.710000,7.337076,354891632
2022-04-01,7.680000,7.980000,7.260000,7.880000,7.498853,152490262
2022-05-01,7.880000,8.470000,7.580000,8.200000,7.803375,163212784
2022-06-01,8.210000,8.740000,7.500000,8.590000,8.174511,251030328
2022-07-01,8.590000,8.790000,8.040000,8.120000,7.727244,148593611
2022-08-01,8.160000,8.980000,8.010000,8.160000,7.765309,201275714
2022-09-01,8.110000,9.200000,8.020000,8.280000,7.879505,339904006
2022-10-01,8.280000,8.720000,7.050000,7.120000,6.775613,243463781
2022-11-01,7.200000,8.080000,7.110000,8.060000,7.670147,239269517
2022-12-01,8.130000,8.930000,7.720000,8.520000,8.107897,239633083
2023-01-01,8.520000,8.590000,7.780000,7.800000,7.422722,192759348
2023-02-01,7.800000,8.000000,7.530000,7.720000,7.346591,174810722
2023-03-01,7.730000,7.980000,7.130000,7.550000,7.184815,172616602
2023-04-01,7.550000,7.950000,7.480000,7.570000,7.203847,67482471
2023-05-01,7.570000,7.690000,7.060000,7.140000,6.794646,109640888
2023-06-01,7.100000,8.390000,7.080000,8.010000,7.622565,144022534
2023-07-01,8.030000,8.910000,8.000000,8.830000,8.402903,139549732
2023-08-01,8.790000,8.980000,8.220000,8.360000,7.955636,170080626
2023-09-01,8.360000,8.550000,7.900000,8.040000,7.651114,90649689
2023-10-01,8.040000,8.280000,7.670000,7.860000,7.479820,82304847
2023-11-01,7.900000,8.200000,7.630000,7.880000,7.498853,96902274
2023-12-01,7.880000,8.450000,7.700000,8.160000,7.765309,108186045
2024-01-01,8.160000,8.300000,7.670000,7.970000,7.584499,104000682
